instance	class	precision	recall	predicted class size	real class size
genus	Propionigenium	1.00	1.00	4103073	4107155
genus	Sporobacter	1.00	0.98	4100183	4196055
genus	Thiothrix	1.00	0.98	4081788	4145616
genus	Alkalitalea	1.00	0.89	4045342	4548631
genus	Acinetobacter	1.00	0.99	4024753	4045422
genus	Hespellia	0.98	0.89	3987101	4394786
genus	Cytophaga	1.00	0.91	3984885	4361637
genus	Malonomonas	0.99	0.99	3941133	3960448
genus	Halomonas	1.00	0.99	3917398	3952422
genus	Planktotalea	0.99	0.93	3912687	4153516
genus	Dethiosulfatibacter	1.00	0.96	3881116	4030129
genus	Celeribacter	1.00	0.99	3829588	3865680
genus	Desulfobotulus	1.00	0.95	3787011	3980756
genus	Sedimentibacter	1.00	0.99	3777387	3826005
genus	Sphingobacterium	0.97	0.62	3755841	5863185
genus	Acidocella	0.99	0.93	3725262	3960665
genus	Oceanimonas	1.00	1.00	3718474	3735544
genus	Thalassobacter	0.94	0.94	3592080	3596730
genus	Pelagicola	1.00	0.97	3545195	3642180
genus	Geobacter	1.00	0.98	3492206	3568133
genus	Oceanospirillum	1.00	0.99	3468019	3508055
genus	Pseudobutyrivibrio	1.00	0.99	3377269	3420207
genus	Comamonas	0.98	0.97	3325184	3356089
genus	Prevotella	1.00	0.95	3322128	3504004
genus	Afifella	1.00	0.82	3257656	3962251
genus	Oceanicella	1.00	0.98	3226468	3280980
genus	Fibrobacter	1.00	0.98	3211698	3277440
genus	Azomonas	1.00	0.97	3170927	3274144
genus	Peptoclostridium	1.00	0.99	3165884	3196223
genus	Mycoplasma	0.99	0.99	3096551	3100471
genus	Arenimonas	1.00	0.99	2961754	2978743
genus	Gemmiger	1.00	0.91	2946545	3238784
genus	Porphyrobacter	1.00	0.99	2934723	2978214
genus	Selenihalanaerobacter	1.00	1.00	2840047	2837595
genus	Eubacterium	1.00	0.97	2766070	2834267
genus	Pilibacter	1.00	0.99	2758854	2780066
genus	Asaccharobacter	1.00	0.92	2659836	2880893
genus	Caldanaerobius	1.00	0.92	2548206	2753972
genus	Succinivibrio	0.99	0.95	2540412	2664356
genus	Papillibacter	1.00	0.88	2534183	2888356
genus	Soonwooa	1.00	0.74	2465327	3329138
genus	Salinicoccus	1.00	0.98	2455829	2513181
genus	Desulfomicrobium	1.00	0.99	2446572	2483130
genus	Herbaspirillum	0.99	0.39	2444580	6135680
genus	Parasporobacterium	1.00	0.99	2424702	2440900
genus	Thermoanaerobacter	0.94	0.94	2411307	2406712
genus	Terrabacter	1.00	0.16	2301074	14712837
genus	Marinitoga	1.00	0.99	2293054	2311198
genus	Kingella	1.00	0.96	2242197	2324531
genus	Thermodesulfovibrio	0.92	0.94	2166634	2114333
genus	Fervidobacterium	1.00	0.99	2142048	2144384
genus	Thermosyntropha	1.00	0.96	2074983	2166976
genus	Campylobacter	1.00	0.98	1790582	1820943
genus	Thermomonas	0.98	0.68	1684412	2439301
genus	Alkalibacter	1.00	0.69	1603289	2325618
genus	Thermosipho	1.00	0.96	1575474	1635388
genus	Megasphaera	1.00	0.44	1280490	2911302
genus	Anaerosphaera	1.00	0.53	1078253	2020910
genus	Stenotrophomonas	1.00	0.25	994192	4032271
genus	Pseudogulbenkiania	0.98	0.15	685499	4362870
genus	Sporacetigenium	1.00	0.21	618001	2976284
genus	Promicromonospora	0.99	0.05	535396	10223796
genus	Mesorhizobium	1.00	0.02	425749	20175861
genus	Actinomadura	1.00	0.02	200536	9355715
genus	unassigned	nan	nan	349331491	129993492
species	Desulfococcus multivorans	1.00	0.98	51001653	51975838
species	Clostridium intestinale	0.46	1.00	48103328	22131764
species	Pelomonas sp. JGI 001013-K11	0.60	0.71	42923593	36491486
species	Nocardia amikacinitolerans	0.86	0.90	39202711	37438923
species	Agromyces subbeticus	0.37	0.55	35678953	23924211
species	Desulfovibrio desulfuricans	0.88	0.99	29649272	26230321
species	Azotobacter beijerinckii	0.70	0.81	28838395	24889875
species	Nocardioides jensenii	0.72	0.87	24083611	20123852
species	Gelidibacter algens	0.74	0.95	23165848	17959803
species	Halobacterium salinarum	1.00	0.96	22293561	23185149
species	Lentzea californiensis	0.44	0.98	20342108	8996823
species	Actinosynnema pretiosum	0.48	1.00	19337431	9348728
species	Erwinia tracheiphila	0.86	0.93	19157295	17642522
species	uncultured Paenibacillus sp.	0.88	0.99	18322439	16403391
species	Mameliella alba	1.00	0.77	16253458	21065517
species	Albidovulum inexpectatum	0.72	0.96	16149233	12119276
species	Algoriphagus yeomjeoni	0.34	0.97	14237699	4970338
species	uncultured Pseudomonas sp.	0.32	0.72	13258181	5864153
species	Sphingomonas wittichii	0.99	0.61	11738777	19137096
species	Dyadobacter psychrophilus	0.64	1.00	10479812	6733914
species	Arenibacter troitsensis	0.51	0.99	10350293	5277401
species	Dyadobacter ginsengisoli	0.99	1.00	9491448	9417641
species	Prauserella halophila	0.56	0.99	8935388	5047472
species	Modestobacter sp. R-36506	1.00	0.98	8924775	9129044
species	Lentzea albidocapillata	1.00	1.00	8655888	8637167
species	Goodfellowiella coeruleoviolacea	1.00	0.95	8357055	8767230
species	Chitinophaga sancti	0.94	0.96	8350667	8235786
species	Actinokineospora diospyrosa	1.00	1.00	8096160	8109299
species	Desulfacinum infernum	0.52	0.98	7949868	4236285
species	Chitinophaga ginsengisegetis	1.00	1.00	7910917	7933412
species	Pseudomonas xiamenensis	0.58	0.99	7287629	4267703
species	Paenibacillus algorifonticola	1.00	0.96	7272165	7575015
species	Desulfacinum hydrothermale	1.00	0.63	7175054	11335112
species	Roseomonas rosea	0.55	0.73	7080637	5341403
species	Chitinophaga japonensis	1.00	0.99	6952017	6993637
species	Larkinella arboricola	1.00	0.97	6798642	7015325
species	Burkholderia sp. IMER-A1-17	1.00	0.99	6706097	6798508
species	Mesonia algae	0.96	0.70	6689018	9194581
species	[Clostridium] jejuense	1.00	0.99	6582359	6617028
species	Desulfopila aestuarii	0.96	0.99	6275220	6064646
species	Prosthecobacter debontii	1.00	0.99	6230210	6284142
species	Anaerovibrio lipolyticus	0.95	0.99	6097431	5824876
species	Chitinophaga skermanii	1.00	0.99	6054055	6110985
species	Stackebrandtia albiflava	0.93	1.00	5971738	5546185
species	Rhizobium sp. Ia8	0.97	0.47	5948687	12118131
species	Desulfosporosinus lacus	0.94	1.00	5910041	5549747
species	Roseomonas vinacea	0.51	0.48	5895713	6344653
species	Arcicella aurantiaca	0.99	0.97	5800937	5919827
species	Prosthecobacter fusiformis	1.00	0.99	5795475	5825138
species	Rhodococcus sp. I_48-J6PC12A	0.80	0.98	5752237	4709297
species	Desulfitobacterium chlororespirans	0.99	1.00	5645745	5600379
species	Mucilaginibacter oryzae	1.00	0.95	5640774	5936951
species	Phycicoccus sp. THG-a14	1.00	0.65	5602064	8562127
