binner	rank	precision	recall	predidcted_size	real_size
stoic_albattani_0	genus	0.00	nan	66000	0
stoic_albattani_0	genus	0.00	nan	64200	0
stoic_albattani_0	genus	0.00	nan	60750	0
stoic_albattani_0	genus	0.00	nan	60600	0
stoic_albattani_0	genus	0.00	nan	59250	0
stoic_albattani_0	genus	0.00	nan	57450	0
stoic_albattani_0	genus	1.00	0.00	56700	662834550
stoic_albattani_0	genus	0.00	nan	56700	0
stoic_albattani_0	genus	0.00	nan	55950	0
stoic_albattani_0	genus	0.00	nan	55500	0
stoic_albattani_0	genus	0.00	nan	51300	0
stoic_albattani_0	genus	0.00	nan	49800	0
stoic_albattani_0	genus	0.00	nan	46800	0
stoic_albattani_0	genus	0.00	nan	46200	0
stoic_albattani_0	genus	0.00	nan	45300	0
stoic_albattani_0	genus	0.00	nan	44850	0
stoic_albattani_0	genus	0.00	nan	44850	0
stoic_albattani_0	genus	0.00	nan	42600	0
stoic_albattani_0	genus	0.00	nan	42450	0
stoic_albattani_0	genus	0.00	nan	42000	0
stoic_albattani_0	genus	0.00	nan	41250	0
stoic_albattani_0	genus	0.00	nan	40200	0
stoic_albattani_0	genus	0.00	nan	39300	0
stoic_albattani_0	genus	0.00	nan	39150	0
stoic_albattani_0	genus	0.00	nan	38700	0
stoic_albattani_0	genus	0.00	nan	38250	0
stoic_albattani_0	genus	0.00	nan	35550	0
stoic_albattani_0	genus	0.00	nan	35250	0
stoic_albattani_0	genus	0.00	nan	34800	0
stoic_albattani_0	genus	0.00	nan	34350	0
stoic_albattani_0	genus	0.00	nan	32850	0
stoic_albattani_0	genus	0.00	nan	32100	0
stoic_albattani_0	genus	0.00	nan	30900	0
stoic_albattani_0	genus	0.00	nan	29400	0
stoic_albattani_0	genus	0.00	nan	28800	0
stoic_albattani_0	genus	0.00	nan	28500	0
stoic_albattani_0	genus	0.00	nan	28350	0
stoic_albattani_0	genus	0.00	nan	28050	0
stoic_albattani_0	genus	0.00	nan	27600	0
stoic_albattani_0	genus	0.00	nan	27450	0
stoic_albattani_0	genus	0.00	nan	27150	0
