"rank"	"bin"	"precision"	"recall"	"predicted_size"	"real_size"	"binner"
"strain"	"Sample24_51"	0	0	0	22140	"admiring_curie_2"
"strain"	"Sample9_158"	0	0	0	7271	"admiring_curie_2"
"strain"	"Sample23_75"	0	0	0	19966	"admiring_curie_2"
"strain"	"Sample6_74"	0	0	0	27074	"admiring_curie_2"
"strain"	"Sample22_100"	0	0	0	29717	"admiring_curie_2"
"strain"	"Sample20_114"	0	0	0	7392	"admiring_curie_2"
"strain"	"1021_P"	0.540200169748	0.7588686829	6178556	4398201	"admiring_curie_2"
"strain"	"1036701"	0.441980674588	0.994662255648	5024369	2232591	"admiring_curie_2"
"strain"	"1036704"	1	0.932103576165	3869120	4150955	"admiring_curie_2"
"strain"	"Sample22_823"	0	0	0	6067	"admiring_curie_2"
"strain"	"Sample15_24"	0	0	0	20607	"admiring_curie_2"
"strain"	"1021_C"	0.708817636162	0.72558433997	9439514	9221387	"admiring_curie_2"
"strain"	"1048978"	0.427244172778	0.66668015962	5628154	3606821	"admiring_curie_2"
"strain"	"evo_1286_G.010"	1	0.940596705086	2953294	3139809	"admiring_curie_2"
"strain"	"1030968"	1	0.990090089117	4581231	4627085	"admiring_curie_2"
"strain"	"1220_AX"	0.459799830252	0.668837109655	6178556	4247520	"admiring_curie_2"
"strain"	"1053040"	1	0.996348443534	7115807	7141886	"admiring_curie_2"
"strain"	"1052953"	0.78046269227	0.832343117437	4438544	4161887	"admiring_curie_2"
"strain"	"1052950"	0.996398514417	0.993948662284	5414710	5428056	"admiring_curie_2"
"strain"	"Sample23_512"	0	0	0	6628	"admiring_curie_2"
"strain"	"1030740"	1	0.973470977867	3170961	3257376	"admiring_curie_2"
"strain"	"1053049"	0.539511123856	0.825291001346	10095195	6599454	"admiring_curie_2"
"strain"	"1036680"	0.961221789431	0.987580176661	4595751	4473091	"admiring_curie_2"
"strain"	"1036683"	1	0.989913944015	4786226	4834992	"admiring_curie_2"
"strain"	"Sample23_513"	0	0	0	6622	"admiring_curie_2"
"strain"	"Sample23_257"	0	0	0	10824	"admiring_curie_2"
"strain"	"1139_CJ"	0.458544683882	0.993446269194	10095195	4659636	"admiring_curie_2"
"strain"	"evo_1035921.008"	0.30200837405	0.715157175073	7153050	3020708	"admiring_curie_2"
