binner	rank	precision	recall	size
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.36	0.00	3629700
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.15	0.00	35611500
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
pensive_curie_5	family	0.00	nan	0
