instance	class	precision	recall	predicted class size	real class size
genus	Nonlabens	0.98	0.99	6489888	6451831
genus	Lactobacillus	0.99	0.96	6318007	6471053
genus	Brevibacillus	0.98	0.96	6306608	6465663
genus	Frigoribacterium	1.00	0.27	6194502	23333422
genus	Duganella	1.00	0.96	6013103	6230033
genus	Streptoalloteichus	1.00	0.85	5995715	7094726
genus	Sphingobacterium	0.95	0.97	5974986	5863185
genus	Arcicella	1.00	0.99	5896940	5919827
genus	Desulfosporosinus	0.94	0.99	5829910	5549747
genus	Mucilaginibacter	1.00	0.97	5730841	5936951
genus	Desulfitobacterium	0.96	0.97	5672580	5600379
genus	Stackebrandtia	1.00	1.00	5565661	5546185
genus	Brevundimonas	1.00	0.36	5538678	15193047
genus	Azomonas	0.59	0.97	5373104	3274144
genus	Pantoea	0.95	0.99	5342516	5113333
genus	Marivirga	0.90	1.00	5269370	4738056
genus	Janthinobacterium	0.99	0.97	5235428	5312559
genus	Azoarcus	0.89	0.94	5127309	4899927
genus	Desulfococcus	0.99	0.10	5125529	51975838
genus	Desulforhopalus	0.89	0.91	5087108	5003741
genus	Marinomonas	0.97	0.97	5045117	5032852
genus	Maribacter	1.00	0.53	4978899	9322952
genus	Celeribacter	0.78	1.00	4966765	3865680
genus	Brenneria	1.00	0.56	4965527	8913891
genus	Treponema	0.98	0.96	4932399	5025696
genus	Enterovibrio	0.97	0.95	4911897	5027516
genus	Parapedobacter	0.99	0.99	4822532	4828298
genus	Mesonia	0.98	0.52	4821268	9194581
genus	Nitrobacter	0.99	0.99	4813308	4804273
genus	Ponticoccus	1.00	1.00	4761478	4748324
genus	Salmonella	0.99	1.00	4741598	4715983
genus	Sphingobium	1.00	0.97	4697950	4819785
genus	Desulfofustis	0.98	0.92	4661961	4974095
genus	Variovorax	1.00	0.98	4626724	4716816
genus	Phenylobacterium	1.00	0.35	4588223	13144738
genus	Alkalitalea	0.96	0.95	4482016	4548631
genus	Caenimonas	1.00	0.97	4471620	4594950
genus	Elizabethkingia	0.96	0.99	4429892	4293831
genus	Fontibacter	0.99	0.98	4424682	4481558
genus	Gemmobacter	1.00	0.90	4423925	4919248
genus	Rubritalea	0.98	1.00	4387802	4320165
genus	Porphyromonas	1.00	0.98	4331352	4390642
genus	Sporobacter	0.99	0.99	4204568	4196055
genus	Hwanghaeicola	1.00	0.92	4184642	4540469
genus	Acinetobacter	0.97	1.00	4169813	4045422
genus	Cytophaga	0.98	0.94	4148640	4361637
genus	Thiothrix	1.00	0.99	4126148	4145616
genus	Planktotalea	0.99	0.96	4054006	4153516
genus	Parabacteroides	0.96	0.99	4052808	3908047
genus	Propionigenium	1.00	0.98	4039631	4107155
genus	Stenotrophomonas	1.00	0.99	4005125	4032271
genus	Malonomonas	0.96	0.96	3963120	3960448
genus	Halomonas	0.99	0.99	3944672	3952422
genus	Phycicoccus	1.00	0.31	3914126	12561698
genus	Dethiosulfatibacter	1.00	0.97	3894016	4030129
genus	Pseudobutyrivibrio	0.87	0.99	3889923	3420207
genus	Angustibacter	1.00	1.00	3832070	3851283
genus	Desulfobotulus	1.00	0.96	3825234	3980756
genus	Soehngenia	0.49	0.92	3798508	2001077
genus	Geosporobacter	0.98	0.95	3714199	3855557
